kode_provinsi,nama_provinsi,jenis_sarana_kesehatan,tahun,jumlah
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2000,2938
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2001,1075
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2002,3358
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2003,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2004,1929
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2005,2034
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2006,1473
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2007,1473
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2008,1951
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2009,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2010,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2011,0
11,"Prov. Nanggroe Aceh Darussalam","Polindes",2012,0
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2000,5368
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2001,3412
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2002,5796
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2003,4875
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2004,4875
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2005,5019
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2006,5576
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2007,5576
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2008,4824
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2009,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2010,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2011,7039
11,"Prov. Nanggroe Aceh Darussalam","Posyandu",2012,7039
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2000,219
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2001,219
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2002,230
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2003,240
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2004,240
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2005,266
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2006,274
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2007,311
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2008,301
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2009,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2010,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2011,309
11,"Prov. Nanggroe Aceh Darussalam","Puskesmas",2012,309
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2000,762
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2001,778
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2002,821
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2003,824
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2004,739
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2005,733
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2006,0
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2007,0
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2008,843
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2009,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2010,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2011,919
11,"Prov. Nanggroe Aceh Darussalam","Pustu",2012,919
12,"Prov. Sumatera Utara","Polindes",2000,644
12,"Prov. Sumatera Utara","Polindes",2001,2141
12,"Prov. Sumatera Utara","Polindes",2002,664
12,"Prov. Sumatera Utara","Polindes",2003,2204
12,"Prov. Sumatera Utara","Polindes",2004,2744
12,"Prov. Sumatera Utara","Polindes",2005,2608
12,"Prov. Sumatera Utara","Polindes",2006,644
12,"Prov. Sumatera Utara","Polindes",2007,644
12,"Prov. Sumatera Utara","Polindes",2008,1965
12,"Prov. Sumatera Utara","Polindes",2009,0
12,"Prov. Sumatera Utara","Polindes",2010,0
12,"Prov. Sumatera Utara","Polindes",2011,0
12,"Prov. Sumatera Utara","Polindes",2012,0
12,"Prov. Sumatera Utara","Posyandu",2000,15077
12,"Prov. Sumatera Utara","Posyandu",2001,9904
12,"Prov. Sumatera Utara","Posyandu",2002,15077
12,"Prov. Sumatera Utara","Posyandu",2003,14974
12,"Prov. Sumatera Utara","Posyandu",2004,14974
12,"Prov. Sumatera Utara","Posyandu",2005,13721
12,"Prov. Sumatera Utara","Posyandu",2006,22190
12,"Prov. Sumatera Utara","Posyandu",2007,22190
